=== RUN   TestMakeLargeSlice
gc 1 @0.006s 0%: 0+0.51+0 ms clock, 0+0/0/0+0 ms cpu, 128->128->128 MB, 128 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 2 @0.055s 0%: 0+2.9+0 ms clock, 0+0/1.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 3 @0.115s 0%: 0+0.97+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 4 @0.139s 0%: 0+0.97+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 5 @0.162s 0%: 0+0.97+0 ms clock, 0+0/1.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 6 @0.187s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 7 @0.213s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 8 @0.237s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 9 @0.262s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 10 @0.284s 0%: 0+0.97+0 ms clock, 0+0/3.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 11 @0.308s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 12 @0.331s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 13 @0.354s 0%: 0+0.97+0 ms clock, 0+0/2.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 14 @0.378s 0%: 0+0+0.97 ms clock, 0+0/0/0+15 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 15 @0.403s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 16 @0.425s 0%: 0+0.97+0 ms clock, 0+0/3.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 17 @0.450s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 18 @0.473s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 19 @0.496s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 20 @0.521s 0%: 0+0.97+0 ms clock, 0+0/2.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 21 @0.545s 0%: 0+0+0.97 ms clock, 0+0/0/0+15 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 22 @0.569s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 23 @0.592s 0%: 0+0.97+0 ms clock, 0+0/0.97/1.9+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 24 @0.615s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 25 @0.638s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 26 @0.661s 0%: 0+1.9+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 27 @0.684s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 28 @0.706s 0%: 0+0.97+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 29 @0.728s 0%: 0+0.97+0 ms clock, 0+0/1.9/1.9+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 30 @0.752s 0%: 0+0.97+0 ms clock, 0+0/1.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 31 @0.775s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 32 @0.798s 0%: 0+0.97+0 ms clock, 0+0/1.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 33 @0.821s 0%: 0+0.97+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 34 @0.845s 0%: 0.97+1.9+0 ms clock, 15+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 35 @0.869s 0%: 0+1.9+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 36 @0.893s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 37 @0.915s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 38 @0.938s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 39 @0.959s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 40 @0.981s 0%: 0+0.97+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 41 @1.003s 0%: 0+1.9+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 42 @1.026s 0%: 0+0.97+0 ms clock, 0+0/1.9/0.97+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 43 @1.048s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
