=== RUN   TestMakeLargeSlice
gc 1 @0.005s 1%: 0+0.51+0 ms clock, 0+0/1.0/0+0 ms cpu, 128->128->128 MB, 128 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 2 @0.104s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 3 @0.187s 0%: 0+0.97+0 ms clock, 0+0/0.97/0.97+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 4 @0.235s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 5 @0.286s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 6 @0.334s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 7 @0.381s 0%: 0+0.97+0 ms clock, 0+0/3.9/1.9+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 8 @0.428s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 9 @0.475s 0%: 0+0.97+0 ms clock, 0+0/3.9/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 10 @0.527s 0%: 0+0.97+0 ms clock, 0+0/0.97/0.97+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 11 @0.577s 0%: 0+0.97+0 ms clock, 0+0/2.9/0.97+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 12 @0.625s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 13 @0.669s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 14 @0.716s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 15 @0.763s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 16 @0.809s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 17 @0.854s 0%: 0+0.97+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 18 @0.902s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 19 @0.948s 0%: 0+2.9+0 ms clock, 0+0/3.9/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 20 @0.996s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 21 @1.045s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 22 @1.093s 0%: 0+0.97+0 ms clock, 0+0/3.9/1.9+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 23 @1.140s 0%: 0+0.97+0 ms clock, 0+0/2.9/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 24 @1.188s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 25 @1.235s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 26 @1.283s 0%: 0+0.97+0 ms clock, 0+0/1.9/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 27 @1.328s 0%: 0+1.9+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 28 @1.371s 0%: 0+1.0+0 ms clock, 0+0/0.24/0.18+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 29 @1.417s 0%: 0+1.9+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 30 @1.464s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 31 @1.511s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 32 @1.557s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 384->384->128 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 16 P
--- PASS: TestMakeLargeSlice (1.56s)
PASS
ok  	gomodel	1.762s
